## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_5_bam_FLD/atacHAK002_allreads_FLD.pdf HISTOGRAM_WIDTH=1000 INPUT=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_4_bam_markduplicates/atacHAK002/atacHAK002_markdups_final.bam OUTPUT=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_5_bam_FLD/atacHAK002_allreads_insertdata.txt VERBOSITY=ERROR QUIET=true USE_JDK_DEFLATER=true USE_JDK_INFLATER=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jul 27 14:50:02 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
130	43	78	23	2000	184.082211	169.021763	63005007	FR	53	91	119	141	157	173	191	329	677	1019	2789			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
23	1458
24	2414
25	5353
26	15619
27	27599
28	36968
29	40699
30	41124
31	47878
32	68817
33	99909
34	136784
35	208677
36	290205
37	326664
38	357977
39	445666
40	566823
41	727671
42	894186
43	1034060
44	1030697
45	903288
46	705014
47	554320
48	472609
49	489263
50	555658
51	656213
52	752534
53	813144
54	796738
55	704357
56	568925
57	451428
58	373085
59	361311
60	388248
61	444121
62	494179
63	533873
64	536012
65	499118
66	424750
67	352916
68	298157
69	282715
70	286193
71	316646
72	347654
73	373304
74	379937
75	366361
76	328886
77	290817
78	250127
79	232060
80	225878
81	239397
82	255546
83	273556
84	280101
85	279122
86	259673
87	238897
88	209194
89	193145
90	185089
91	187849
92	195613
93	209082
94	214199
95	215754
96	205738
97	193264
98	173948
99	163158
100	152206
101	152483
102	156516
103	165381
104	168111
105	170692
106	165756
107	159829
108	149466
109	139882
110	129904
111	128467
112	127290
113	132764
114	135249
115	139199
116	138173
117	133987
118	130290
119	121237
120	114321
121	110697
122	109224
123	111583
124	113864
125	118312
126	118064
127	118437
128	117126
129	111802
130	105696
131	105673
132	101859
133	98567
134	97945
135	102122
136	104425
137	115333
138	124965
139	119341
140	107442
141	103942
142	97890
143	92102
144	89759
145	91333
146	94172
147	102271
148	111046
149	119932
150	137820
151	156555
152	152419
153	126964
154	106161
155	102048
156	103788
157	108593
158	115195
159	119148
160	116942
161	115170
162	113263
163	115799
164	123174
165	136355
166	153662
167	170890
168	172990
169	161728
170	143213
171	132705
172	126995
173	130645
174	142027
175	162738
176	183752
177	194901
178	186855
179	170375
180	150647
181	140335
182	135509
183	139304
184	144433
185	155717
186	164819
187	171779
188	168501
189	162145
190	152446
191	147169
192	144555
193	147772
194	151802
195	159605
196	163991
197	166407
198	163886
199	158116
200	152601
201	151744
202	152841
203	158170
204	164187
205	170864
206	172759
207	171374
208	164695
209	156772
210	151815
211	150215
212	152568
213	159005
214	163923
215	169313
216	169273
217	168142
218	160889
219	153731
220	145184
221	142802
222	143432
223	145930
224	149818
225	152254
226	151123
227	149608
228	143043
229	137501
230	131605
231	127824
232	126717
233	127120
234	127800
235	128242
236	126927
237	124684
238	119587
239	115401
240	110193
241	107049
242	104525
243	104053
244	102942
245	102650
246	100906
