## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_5_bam_FLD/atacHAK001_centromeric_FLD.pdf HISTOGRAM_WIDTH=1000 INPUT=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_4_bam_markduplicates/atacHAK001/atacHAK001_centromere.bam OUTPUT=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_5_bam_FLD/atacHAK001_centromeric_insertdata.txt VERBOSITY=ERROR QUIET=true USE_JDK_DEFLATER=true USE_JDK_INFLATER=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jul 27 14:20:46 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
95	44	50	23	2000	159.309432	195.290152	162804	FR	25	47	67	85	101	115	185	701	2183	3021	3709			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
23	8
24	11
25	15
26	50
27	73
28	124
29	140
30	150
31	145
32	298
33	358
34	350
35	557
36	669
37	680
38	855
39	1038
40	1559
41	1795
42	2399
43	2632
44	2658
45	2427
46	1775
47	1571
48	1348
49	1439
50	1625
51	1881
52	2270
53	2329
54	2293
55	2172
56	1642
57	1676
58	1244
59	1309
60	1368
61	1386
62	1555
63	1778
64	1761
65	1639
66	1463
67	1109
68	1012
69	925
70	1001
71	1186
72	1287
73	1325
74	1334
75	1089
76	1165
77	925
78	1006
79	827
80	800
81	864
82	870
83	1110
84	996
85	998
86	843
87	751
88	666
89	800
90	797
91	706
92	672
93	705
94	675
95	857
96	681
97	858
98	518
99	510
100	477
101	472
102	647
103	602
104	543
105	485
106	444
107	399
108	436
109	408
110	317
111	332
112	357
113	366
114	390
115	339
116	359
117	306
118	322
119	319
120	324
121	245
122	231
123	218
124	290
125	291
126	319
127	299
128	342
129	286
130	215
131	267
132	216
133	184
134	232
135	281
136	254
137	393
138	438
139	354
140	260
141	235
142	230
143	168
144	178
145	217
146	214
147	273
148	305
149	325
150	284
151	300
152	336
153	260
154	248
155	199
156	210
157	258
158	299
159	319
160	263
161	249
162	257
163	264
164	333
165	338
166	496
167	501
168	410
169	407
170	364
171	338
172	289
173	334
174	315
175	469
176	499
177	548
178	489
179	400
180	372
181	348
182	330
183	487
184	325
185	436
186	338
187	338
188	364
189	340
190	304
191	292
192	240
193	255
194	268
195	255
196	236
197	209
198	216
199	213
200	222
201	206
202	207
203	199
204	221
205	199
206	230
207	195
208	186
209	159
210	171
211	197
212	189
213	170
214	182
215	166
216	167
217	180
218	179
219	185
220	142
221	166
222	128
223	140
224	145
225	137
226	127
227	144
228	125
229	126
230	126
231	113
232	101
233	112
234	103
235	113
236	82
237	97
238	78
239	86
240	99
241	83
242	74
243	69
244	62
245	56
246	71
247	80
248	68
249	60
250	68
251	40
252	57
253	45
254	43
255	59
256	53
257	63
258	72
259	57
260	49
261	46
262	41
263	59
264	41
265	37
266	46
267	46
268	41
269	43
270	32
271	40
272	43
273	36
274	29
275	37
276	33
277	36
278	26
279	30
280	36
281	27
282	31
283	31
284	24
285	23
286	27
287	21
288	25
289	28
290	22
291	26
292	19
293	24
294	17
295	24
296	25
297	13
298	22
299	18
300	22
301	22
302	18
303	25
304	27
305	22
306	26
307	20
308	21
309	28
310	22
311	18
312	26
313	14
314	23
315	25
316	24
317	23
318	15
319	18
320	28
321	19
322	26
323	20
324	12
325	17
326	20
327	17
328	11
329	15
330	14
331	17
332	15
333	14
334	14
335	25
336	21
337	25
338	13
339	12
340	20
341	19
342	11
343	22
344	15
345	11
346	22
347	18
348	14
349	21
350	15
351	22
352	14
353	28
354	12
355	19
356	17
357	25
358	19
359	19
360	17
361	11
362	18
363	18
364	24
365	16
366	18
367	16
368	24
369	21
370	15
371	20
372	16
373	14
374	20
375	20
376	20
377	16
378	21
379	17
380	29
381	21
382	24
383	19
384	28
385	37
386	38
387	29
388	49
389	63
390	66
391	58
392	73
393	71
394	60
395	51
396	59
397	44
398	64
399	72
400	48
401	62
402	60
403	57
404	55
405	56
406	51
407	45
408	44
409	47
410	54
411	37
412	43
413	50
414	48
415	36
416	41
417	43
418	43
419	42
420	27
421	44
422	47
423	36
424	44
425	31
426	28
427	33
428	32
429	30
430	28
431	39
432	35
433	40
434	31
435	34
436	23
437	23
438	33
439	41
440	20
441	27
442	31
443	28
444	34
445	35
446	16
447	24
448	25
449	29
450	34
451	19
452	19
453	22
454	21
455	24
456	20
457	18
458	15
459	14
460	17
461	16
462	14
463	12
464	13
465	13
466	8
467	13
468	12
469	12
470	10
471	10
472	9
473	9
474	10
475	14
476	13
477	18
478	15
479	8
480	19
481	23
482	13
483	15
484	12
485	20
486	23
487	20
488	10
489	21
490	13
491	15
492	21
493	17
494	17
495	19
496	17
497	18
498	22
499	15
500	11
501	13
502	12
503	13
504	11
505	13
506	16
507	7
508	10
509	12
510	10
511	13
512	18
513	14
514	13
515	15
516	15
517	16
518	16
519	12
520	15
521	16
522	19
523	28
524	22
525	7
526	18
527	16
528	17
529	21
530	22
531	26
532	23
533	15
534	18
535	24
536	19
537	13
538	16
539	14
540	18
541	16
542	17
543	7
544	5
545	14
546	5
547	8
548	21
549	14
550	25
551	17
552	15
553	18
554	27
555	20
556	23
557	20
558	24
559	27
560	37
561	50
562	52
563	49
564	54
565	64
566	44
567	55
568	45
569	51
570	46
571	58
572	53
573	46
574	46
575	59
576	66
577	53
578	43
579	47
580	35
581	42
582	49
583	46
584	54
585	42
586	46
587	50
588	41
589	23
590	31
591	33
592	32
593	35
594	43
595	32
596	32
597	33
598	44
599	35
600	24
601	30
602	35
603	30
604	32
605	33
606	27
607	29
608	27
609	35
610	35
611	30
612	24
613	23
614	26
615	22
616	25
617	30
618	19
619	20
620	24
621	20
622	17
623	21
624	21
625	16
626	23
627	23
628	21
629	19
630	19
631	15
632	12
633	20
634	21
635	15
636	14
637	14
638	16
639	10
640	15
641	10
642	14
643	14
644	14
645	8
646	8
647	15
648	20
649	11
650	14
651	7
652	14
653	11
654	13
655	9
656	19
657	12
658	15
659	20
660	17
661	20
662	14
663	13
664	15
665	16
666	10
667	18
668	9
669	19
670	21
671	10
672	19
673	19
674	18
675	13
676	16
677	10
678	7
679	9
680	11
681	16
682	14
683	7
684	10
685	19
686	26
687	12
688	17
689	19
690	30
691	18
692	14
693	21
694	13
695	19
696	17
697	12
698	17
699	26
700	19
701	16
702	24
703	39
704	23
705	23
706	20
707	21
708	21
709	18
710	20
711	27
712	16
713	8
714	8
715	21
716	9
717	11
718	15
719	16
720	18
721	15
722	14
723	20
724	22
725	14
726	17
727	21
728	19
729	19
730	27
731	22
732	21
733	27
734	38
735	40
736	46
737	48
738	45
739	41
740	60
741	47
742	33
743	43
744	41
745	45
746	53
747	53
748	66
749	45
750	48
751	46
752	28
753	39
754	46
755	42
756	39
757	50
758	30
759	38
760	33
761	31
762	35
763	24
764	29
765	32
766	36
767	27
768	45
769	41
770	35
771	23
772	29
773	26
774	31
775	23
776	35
777	27
778	31
779	31
780	38
781	23
782	22
783	30
784	26
785	22
786	24
787	23
788	16
789	28
790	15
791	28
792	32
793	18
794	18
795	14
796	16
797	19
798	27
