## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_5_bam_FLD/atacHAK024_noncentromeric_FLD.pdf HISTOGRAM_WIDTH=1000 INPUT=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_4_bam_markduplicates/atacHAK024/atacHAK024_noncentromere.bam OUTPUT=/lustre/fs4/risc_lab/scratch/jyeung/for_Hide/ATAC_deep_sequencing_Novogene_10112024/Justin_ATAC_pipeline/atac_5_bam_FLD/atacHAK024_noncentromeric_insertdata.txt VERBOSITY=ERROR QUIET=true USE_JDK_DEFLATER=true USE_JDK_INFLATER=true    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Jul 27 15:11:08 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
159	43	94	23	2000	191.056554	166.014709	34953995	FR	41	83	121	157	189	213	231	281	599	921	2595			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
23	820
24	1258
25	2784
26	7951
27	14477
28	19477
29	21580
30	21567
31	24975
32	34448
33	47829
34	64235
35	98440
36	139448
37	160525
38	182706
39	231206
40	293716
41	375108
42	456641
43	526696
44	523057
45	459618
46	365756
47	291861
48	252738
49	261954
50	297208
51	345488
52	389763
53	415825
54	405216
55	357232
56	288806
57	229635
58	191746
59	186835
60	200433
61	226469
62	251078
63	267498
64	267215
65	245243
66	207682
67	172498
68	145402
69	138048
70	140442
71	154739
72	169001
73	180936
74	183330
75	176405
76	156067
77	137834
78	117944
79	109763
80	106907
81	112938
82	121508
83	129270
84	132571
85	130600
86	120488
87	111017
88	96239
89	87338
90	84578
91	86955
92	90890
93	96808
94	98943
95	98776
96	94044
97	87447
98	79467
99	73603
100	68553
101	68763
102	70191
103	74563
104	76028
105	77011
106	75550
107	72461
108	66794
109	62025
110	58012
111	57391
112	57118
113	59516
114	60940
115	63637
116	62257
117	61963
118	61158
119	55734
120	51892
121	50552
122	49080
123	50410
124	52335
125	55576
126	54898
127	56372
128	57870
129	54789
130	52788
131	56497
132	53950
133	48369
134	46494
135	48750
136	51085
137	62116
138	72579
139	69952
140	63916
141	65573
142	59771
143	50084
144	45196
145	46360
146	49374
147	56112
148	65455
149	77967
150	101553
151	127815
152	124265
153	93132
154	68717
155	62539
156	63771
157	67670
158	72896
159	77530
160	79347
161	80222
162	80151
163	81530
164	85416
165	95662
166	108337
167	120540
168	121446
169	111170
170	97654
171	93310
172	91656
173	95294
174	105489
175	120596
176	135336
177	141429
178	134031
179	120562
180	107179
181	100465
182	99073
183	100946
184	107535
185	117327
186	124140
187	128374
188	125479
189	119013
190	112065
191	107779
192	106774
193	110290
194	114426
195	120732
196	124684
197	125830
198	122184
199	117946
200	114140
201	112328
202	112905
203	115990
204	120194
205	124409
206	125902
207	124279
208	119113
209	113217
210	109970
211	107603
212	108381
213	111812
214	114320
215	116951
216	116510
217	113881
218	109584
219	103206
220	97123
221	95780
222	94578
223	96201
224	97721
225	98777
226	97505
227	95036
228	90949
229	86298
230	82200
231	79615
232	77906
233	78059
234	77562
235	77861
236	77025
237	74478
238	70793
239	67911
240	64722
241	62263
242	60469
243	59901
244	58946
245	58540
246	57081
247	55492
248	53098
249	50909
250	48757
251	46774
252	46070
253	44323
254	43855
255	42978
256	42065
257	41088
258	39401
259	38477
260	37125
261	35695
262	34951
263	33774
264	33180
265	33065
266	32393
267	31303
268	30858
269	30009
270	29045
271	28513
272	27376
273	27157
274	26208
275	26391
276	25673
277	25366
278	25182
279	24931
280	24170
281	23941
282	23085
283	22834
284	22223
285	21994
286	21857
287	21852
288	21608
289	21913
290	21508
291	21386
292	20938
293	20392
294	20028
295	19848
296	19760
297	19802
298	19545
299	20210
300	20261
301	20477
302	19894
303	19316
304	19131
305	18998
306	18604
307	18801
308	18901
309	19857
310	19809
311	19852
312	19876
313	19571
314	18741
315	18670
316	18614
317	18606
318	19253
319	19735
320	19924
321	20506
322	20404
323	20513
324	19841
325	19480
326	19266
327	19521
328	19401
329	20212
330	20659
331	21179
332	21499
333	21283
334	20839
335	21124
336	20490
337	20672
338	20652
339	21198
340	21683
341	22031
342	22171
343	22819
344	22672
345	22770
346	22372
347	22580
348	22276
349	22627
350	23309
351	23566
352	23602
353	24247
354	24111
355	24509
356	24512
357	24233
358	24042
359	24726
360	24480
361	24907
362	24919
363	25109
364	25418
365	25801
366	25669
367	25858
368	25739
369	25797
370	25585
371	25866
372	25626
373	26164
374	26283
375	26540
376	26671
377	26793
378	26552
379	27060
380	26786
381	26882
382	26569
383	26766
384	26665
385	27015
386	26915
387	27120
388	26889
389	27227
390	27205
391	26804
392	26780
393	26702
394	26827
395	26824
396	26758
397	26793
398	26425
399	26993
400	26532
401	26599
402	26352
403	26220
404	25793
405	25711
406	25558
407	25177
408	25575
409	25017
410	24814
411	24738
412	24250
413	24311
414	23855
415	23610
416	23709
417	23249
418	23009
419	22991
420	22381
421	22208
422	22052
423	21626
424	21405
425	21160
426	20858
427	20849
428	20474
429	20297
430	19878
431	19738
432	19251
433	18972
434	18838
435	18419
436	18408
437	17980
438	17741
439	17402
440	17131
441	16867
442	16740
443	16602
444	16159
445	15941
446	15755
447	15138
448	15128
449	15039
450	14711
451	14831
452	14365
453	14171
454	14035
455	13756
456	13576
457	13721
458	13227
459	13286
460	13040
461	12831
462	12531
463	12730
464	12807
465	12290
466	12162
467	12115
468	12089
469	11788
470	11712
471	11500
472	11472
473	11445
474	11311
475	11387
476	11419
477	11267
478	11374
479	11369
480	10962
481	10916
482	10970
483	10796
484	10802
485	10690
486	10864
487	10682
488	10693
489	10622
490	10578
491	10574
492	10561
493	10438
494	10511
495	10689
496	10327
497	10362
498	10134
499	10455
500	10457
501	10402
502	10506
503	10560
504	10381
505	10547
506	10437
507	10376
508	10514
509	10405
510	10690
511	10593
512	10459
513	10785
514	10510
515	10737
516	10645
517	10650
518	10580
519	10753
520	10795
521	10671
522	10755
523	10896
524	10866
525	10685
526	10967
527	11192
528	11127
529	11205
530	10977
531	10978
532	11134
533	11053
534	11194
535	11082
536	11222
537	11242
538	11292
539	11431
540	11266
541	11402
542	11223
543	11371
544	11373
545	11388
546	11287
547	11526
548	11447
549	11559
550	11325
551	11381
552	11758
553	11556
554	11457
555	11468
556	11489
557	11761
558	11633
559	11384
560	11561
561	11467
562	11391
563	11465
564	11291
565	11438
566	11412
567	11513
568	11611
569	11490
570	11617
571	11308
572	11446
573	11306
574	11120
575	11316
576	11176
577	11302
578	11210
579	10991
580	11061
581	10993
582	11066
583	10838
584	10667
585	10876
586	10575
587	10700
588	10589
589	10564
590	10625
591	10476
592	10561
593	10366
594	10265
595	10233
596	10012
597	10091
598	10058
599	10002
600	9926
601	9856
602	9968
603	9853
604	9587
605	9456
606	9550
607	9377
608	9335
609	9466
610	9156
611	8966
612	8888
613	8979
614	9093
615	8639
616	8655
617	8713
618	8459
619	8499
620	8249
621	8254
622	8197
623	7868
624	7853
625	7859
626	7665
627	7689
628	7690
629	7419
630	7475
631	7246
632	7234
633	7053
634	7082
635	6833
636	6916
637	6800
638	6860
639	6707
640	6572
641	6418
642	6386
643	6346
644	6262
645	6251
646	6090
647	6101
648	5897
649	5936
650	5896
651	5763
652	5843
653	5668
654	5626
655	5723
656	5427
657	5670
658	5576
659	5483
660	5341
661	5391
662	5296
663	5217
664	5196
665	5249
666	5187
667	5160
668	5050
669	5133
670	4948
671	4968
672	4841
673	4913
674	4841
675	4790
676	4760
677	4634
678	4797
679	4682
680	4658
681	4678
682	4582
683	4451
684	4464
685	4600
686	4430
687	4396
688	4503
689	4242
690	4424
691	4300
692	4317
693	4378
694	4281
695	4298
696	4130
697	4350
698	4125
699	4190
700	4216
701	4173
702	4105
703	4011
704	3981
705	4048
706	3954
707	4069
708	3946
709	4167
710	3975
711	4018
712	3815
713	3893
714	3818
715	3851
716	3836
717	3791
718	3759
719	3780
720	3649
721	3740
722	3810
723	3694
724	3615
725	3693
726	3663
727	3512
728	3504
729	3463
730	3612
731	3509
732	3490
733	3453
734	3392
735	3346
736	3414
737	3391
738	3358
739	3308
740	3309
741	3279
742	3237
743	3210
744	3262
745	3418
746	3248
747	3203
748	3097
749	3180
750	3331
751	3167
752	3168
753	3161
754	3018
755	3146
756	2995
757	3040
758	3047
759	3001
760	3074
761	2964
762	2931
763	3042
764	2823
765	2867
766	2746
767	2796
768	2797
769	2757
770	2832
771	2724
772	2686
773	2740
774	2550
775	2673
776	2657
777	2741
778	2667
779	2659
780	2621
781	2601
782	2584
783	2597
784	2496
785	2581
786	2560
787	2575
788	2560
789	2619
790	2478
791	2442
792	2535
793	2272
794	2326
795	2298
796	2358
797	2353
798	2252
799	2243
800	2131
801	2189
802	2078
803	2107
804	2017
805	2117
806	2021
807	2039
808	2102
809	2029
810	1960
811	1939
812	1966
813	1933
814	1902
815	1810
816	1882
817	1797
818	1828
819	1804
820	1795
821	1727
822	1723
823	1743
824	1801
825	1781
826	1607
827	1690
828	1734
829	1693
830	1649
831	1604
832	1669
833	1553
834	1591
835	1545
836	1549
837	1562
838	1557
839	1563
840	1599
841	1570
842	1470
843	1484
844	1547
845	1477
846	1445
847	1460
848	1439
849	1507
850	1506
851	1537
852	1553
853	1431
854	1391
855	1388
856	1448
857	1392
858	1424
859	1446
860	1354
861	1450
862	1436
863	1449
864	1369
865	1363
866	1354
867	1432
868	1295
869	1315
870	1410
871	1399
872	1297
873	1362
874	1250
875	1363
876	1335
877	1377
878	1335
879	1346
880	1252
881	1269
882	1320
883	1269
884	1321
885	1365
886	1309
887	1320
888	1341
889	1271
890	1242
891	1308
892	1270
893	1357
894	1349
895	1318
896	1334
897	1371
898	1331
899	1288
900	1229
901	1252
902	1323
903	1286
904	1294
905	1297
906	1317
907	1269
908	1224
909	1294
910	1253
911	1301
912	1272
913	1277
914	1312
915	1325
916	1267
917	1266
918	1253
919	1288
920	1260
921	1381
922	1262
923	1226
924	1199
925	1272
926	1243
927	1263
928	1235
929	1235
930	1223
931	1263
932	1190
933	1261
934	1225
935	1180
936	1233
937	1217
938	1186
939	1236
940	1245
941	1235
942	1148
943	1196
944	1185
945	1206
946	1166
947	1214
948	1142
949	1257
950	1123
951	1192
952	1133
953	1090
954	1127
955	1141
956	1097
957	1106
958	1037
959	1119
960	1049
961	1119
962	1026
963	1059
964	1052
965	1061
966	1068
967	1149
968	1088
969	1084
970	1059
971	1040
972	1070
973	1058
974	990
975	1060
976	1086
977	1042
978	971
979	1090
980	1065
981	1068
982	1055
983	1006
984	1027
985	1070
986	962
987	988
988	994
989	983
990	979
991	1028
992	1072
993	1005
994	1026
995	1033
996	964
997	980
998	964
999	1008
1000	974

